adjustment,trans,variable,section,date,value
brut,ind,ptot,ca,2003-10-01,
brut,ind,ptot,ca,2004-01-01,83.456406376658
brut,ind,ptot,ca,2004-04-01,83.380964440167
brut,ind,ptot,ca,2004-07-01,86.4433013692415
brut,ind,ptot,ca,2004-10-01,85.419382035903
brut,ind,ptot,ca,2005-01-01,83.4752375925258
brut,ind,ptot,ca,2005-04-01,85.411696883319
brut,ind,ptot,ca,2005-07-01,87.6531611600118
brut,ind,ptot,ca,2005-10-01,85.3259400189746
brut,ind,ptot,ca,2006-01-01,85.7605199162426
brut,ind,ptot,ca,2006-04-01,92.3917342805712
brut,ind,ptot,ca,2006-07-01,98.2509146552374
brut,ind,ptot,ca,2006-10-01,94.0406800101854
brut,ind,ptot,ca,2007-01-01,91.1355907346341
